OP,FECHA DE INGRESO,ESTILO,DESCRIPCIÓN,COLOR,VISTAS/BIES/CONTRASTES,TALLA,ESTILO-TALLA,BORDADO,CANTIDAD,FECHA ENTREGA,sah unitario,HORAS,LINEA,PLANTA,FOLEO,HABILITACION,ENSAMBLE,TERMINADO,EMPAQUE,PRIORIDAD,C.T.,TELA,estilo 2,metros a tender,FECHA CORTE,BIES,HABILITACION,,PORCENTAJE DE TELA,
,,SEMANA 5 5B 2022,,,,,,,2616,,13.26,944,,,,,,,,,,,,,,,,,,
8742,05/12/2022,A007-001,TOP MUJER ,BLANCO,,L,A007-001-L,,120,06/01/2023,0.4383,53,MPUA10,TOP,,,,,,,M3086,TTR-WHIT,A007,117.6,9/12/22,,OK,,74% poliester 20% rayon 6% spandex ,
8743,05/12/2022,A007-001,TOP MUJER ,BLANCO,,XS,A007-001-XS,,120,06/01/2023,0.4383,53,MPUA10,TOP,,,,,,,M3086,TTR-WHIT,A007,117.6,9/12/22,,OK,,74% poliester 20% rayon 6% spandex ,
8744,05/12/2022,A007-421,TOP MUJER,AVENTURINI,,S,A007-421-S,,120,06/01/2023,0.4383,53,MPUA10,TOP,,,,,,,M3087,TTR-19-5421TCX AVENTURINE,A007,117.6,9/12/22,,OK,,74% poliester 20% rayon 6% spandex ,
8745,05/12/2022,AH001-001,TOP HOMBRE,BLANCO,,M,AH001-001-M,,144,06/01/2023,0.2283,33,MPUA10,TOP,,,,,,,M3088,TTR-WHIT,AH001,141.7752,9/12/22,,OK,,74% poliester 20% rayon 6% spandex ,
8746,05/12/2022,AH001-001,TOP HOMBRE,BLANCO,,XL,AH001-001-XL,,48,06/01/2023,0.2283,11,MPUA10,TOP,,,,,,,M3088,TTR-WHIT,AH001,47.2584,9/12/22,,OK,,74% poliester 20% rayon 6% spandex ,
8747,05/12/2022,AH001-421,TOP HOMBRE,AVENTURINI,,L,AH001-421-L,,72,06/01/2023,0.2283,16,MPUA10,TOP,,,,,,,M3089,TTR-19-5421TCX AVENTURINE,AH001,70.8876,9/12/22,,OK,,74% poliester 20% rayon 6% spandex ,
8748,05/12/2022,AH001-570,TOP HOMBRE,NEGRO,,L,AH001-570-L,,120,06/01/2023,0.2283,27,MPUA10,TOP,,,,,,,M3090,TTR-19-570TCX-BLACK,AH001,118.146,9/12/22,,OK,,74% poliester 20% rayon 6% spandex ,
8749,05/12/2022,AH001-570,TOP HOMBRE,NEGRO,,M,AH001-570-M,,120,06/01/2023,0.2283,27,MPUA10,TOP,,,,,,,M3091,TTR-19-570TCX-BLACK,AH001,118.146,9/12/22,,OK,,74% poliester 20% rayon 6% spandex ,
8750,05/12/2022,A401-001,CHAM MUJER,BLANCO,,L,A401-001-L,,48,06/01/2023,0.256,12,MPUA10,TOP,,,,,,,M3092,TTR-WHIT,A401,63.8232,9/12/22,,OK,,74% poliester 20% rayon 6% spandex ,
8751,05/12/2022,A401-001,CHAM MUJER,BLANCO,,M,A401-001-M,,48,06/01/2023,0.256,12,MPUA10,TOP,,,,,,,M3092,TTR-WHIT,A401,63.8232,9/12/22,,OK,,74% poliester 20% rayon 6% spandex ,
8752,05/12/2022,A102-001,PANT MUJER,BLANCO,,L,A102-001-L,,144,06/01/2023,0.26,37,MPUA10,PANT,,,,,,,M3093,TTR-WHIT,A102,200.2392,8/12/22,,OK,,74% poliester 20% rayon 6% spandex ,
8753,05/12/2022,A102-001,PANT MUJER,BLANCO,,M,A102-001-M,,240,06/01/2023,0.26,62,MPUA10,PANT,,,,,,,M3093,TTR-WHIT,A102,333.732,8/12/22,,OK,,74% poliester 20% rayon 6% spandex ,
8754,05/12/2022,A102-001,PANT MUJER,BLANCO,,S,A102-001-S,,216,06/01/2023,0.26,56,MPUA10,PANT,,,,,,,M3093,TTR-WHIT,A102,300.3588,8/12/22,,OK,,74% poliester 20% rayon 6% spandex ,
8755,05/12/2022,A102-001,PANT MUJER,BLANCO,,XL,A102-001-XL,,72,06/01/2023,0.26,19,MPUA10,PANT,,,,,,,M3093,TTR-WHIT,A102,100.1196,8/12/22,,OK,,74% poliester 20% rayon 6% spandex ,
8756,05/12/2022,A102-001,PANT MUJER,BLANCO,,XS,A102-001-XS,,120,06/01/2023,0.26,31,MPUA10,PANT,,,,,,,M3093,TTR-WHIT,A102,166.866,8/12/22,,OK,,74% poliester 20% rayon 6% spandex ,
8757,05/12/2022,A104P-001,PANT MUJER,BLANCO,,M,A104P-001-M,,48,06/01/2023,0.4633,22,MPUA10,PANT,,,,,,,M3094,TTR-WHIT,A104P,56.16,9/12/22,,OK,,74% poliester 20% rayon 6% spandex ,
8758,05/12/2022,A104P-001,PANT MUJER,BLANCO,,S,A104P-001-S,,48,06/01/2023,0.4633,22,MPUA10,PANT,,,,,,,M3094,TTR-WHIT,A104P,56.16,9/12/22,,OK,,74% poliester 20% rayon 6% spandex ,
