Codigo,Nombre del producto,Sku,Se puede comprar,Se puede vender,Se puede regalar,Condiciones para regalarlo,Tipo de producto,Estatus,Línea,Estilo,Tipo de Linea de producción,Tipo de Producto,Color,Sexo,Talla,Liso o Contrastado,"Tipo de tela ( poner el codigo de la tela que usan para producto. Si no tienen codigo, ver campo A)",Peso (gramos) con bolsa,Código de barras,Referencia interna- Opcional-,Colchón de insumos en %,Minimo a Producir,Tiempo de Reabastecimiento de Insumos,Punto de Reorden de Insumos,ubicación en Picking,Cantidad de operaciones,Punto de Reorden (a calcular),Máximos por producir,Multiplo de producción,Tiempo de producción (SAM),Comportamiento de ventas,Categoria,Amigos/Enemigos,Complejidad,Número de vivos,Vivos/ No vivos,Minimo en inventario en piezas-  en días de rotación- RITMO CRUCERO,RITMO INICIAL,RITMO ESTANQUE,RITMO FIN DE CICLO,Familia de medida compra,Unidad de medida,Familia de medida uso,Unidad de medida uso,unidad de conversión,Edición Limitada,% Descuento,Liquidaciones,Aplica cambio ,Costo de Compra,Precios de Irregulares,Promedio de Ventas,Stock Máximo   ,Colchon,Precio mínimo de venta,Precio de Mayoreo,Descripción para internet- Vendelo,Tipo de seguimiento,Tipo de Prenda
A001-027-L,"Top mujer ""cuello V""  Naval contraste Celta",A001-027-L,No,Si,Si,N/A,Almacenable,Inactivo,Audaz,A001,Top,Top,027-NAVAL,Mujer,L ,Contrastado,TTR-19-4027TCX-MEDIEVAL,0.300,A001027L ,,,,,,,30,,,24,15.15,Estable,,De todos ,1,,,72 piezas,,,,N/A,pz,unidades,pz,N/A,,,No aplica cambio ,,39.170128,150,0.37,144,20%, $460.00 , $285.00 ,"Blusa médica para enfermeras, destaca tu audacia, con un estilo moderno que te hará relucir entre el resto. Su color naval resaltará, lo mejor de ti.",Lote,Top
A001-027-M,"Top mujer ""cuello V""  Naval contraste Celta",A001-027-M,No,Si,Si,N/A,Almacenable,Inactivo,Audaz,A001,Top,Top,027-NAVAL,Mujer,M ,Contrastado,TTR-19-4027TCX-MEDIEVAL,0.285,A001027M ,,,,,,,30,,,24,15.15,Estable,,De todos ,1,,,,,,,N/A,pz,unidades,pz,N/A,,,No aplica cambio ,,39.88,150,0.76,216,20%, $460.00 , $285.00 ,"Blusa médica para enfermeras, destaca tu audacia, con un estilo moderno que te hará relucir entre el resto. Su color naval resaltará, lo mejor de ti.",Lote,Top
A001-027-S,"Top mujer ""cuello V""  Naval contraste Celta",A001-027-S,No,Si,Si,N/A,Almacenable,Inactivo,Audaz,A001,Top,Top,027-NAVAL,Mujer,S,Contrastado,TTR-19-4027TCX-MEDIEVAL,0.270,A001027S,,,,,,,30,,,24,15.15,Estable,,De todos ,1,,,,,,,N/A,pz,unidades,pz,N/A,,,No aplica cambio ,,39.78574,150,0.94,216,20%, $460.00 , $285.00 ,"Blusa médica para enfermeras, destaca tu audacia, con un estilo moderno que te hará relucir entre el resto. Su color naval resaltará, lo mejor de ti.",Lote,Top
A001-027-XS,"Top mujer ""cuello V""  Naval contraste Celta",A001-027-XS,No,Si,Si,N/A,Almacenable,Inactivo,Audaz,A001,Top,Top,027-NAVAL,Mujer,XS,Contrastado,TTR-19-4027TCX-MEDIEVAL,0.220,A001027XS,,,,,,,30,,,24,15.15,Estable,,De todos ,1,,,,,,,N/A,pz,unidades,pz,N/A,,,No aplica cambio ,,41.161688,150,0.42,216,20%, $460.00 , $285.00 ,"Blusa médica para enfermeras, destaca tu audacia, con un estilo moderno que te hará relucir entre el resto. Su color naval resaltará, lo mejor de ti.",Lote,Top
A001-027-XL,"Top mujer ""cuello V""  Naval contraste Celta",A001-027-XL,No,Si,Si,N/A,Almacenable,Inactivo,Audaz,A001,Top,Top,027-NAVAL,Mujer,XL,Contrastado,TTR-19-4027TCX-MEDIEVAL,0.320,A001027XL,,,,,,,30,,,24,15.15,Estable,,De todos ,1,,,,,,,N/A,pz,unidades,pz,N/A,,,No aplica cambio ,,39.588147,150,0.16,144,20%, $460.00 , $285.00 ,"Blusa médica para enfermeras, destaca tu audacia, con un estilo moderno que te hará relucir entre el resto. Su color naval resaltará, lo mejor de ti.",Lote,Top
A001-027-XXL,"Top mujer ""cuello V""  Naval contraste Celta",A001-027-XXL,No,Si,Si,N/A,Almacenable,Inactivo,Audaz,A001,Top,Top,027-NAVAL,Mujer,XXL,Contrastado,TTR-19-4027TCX-MEDIEVAL,0.355,A001027XXL,,,,,,,30,,,24,15.15,Estable,,De todos ,1,,,,,,,N/A,pz,unidades,pz,N/A,,,No aplica cambio ,,40.669215,150,0.09,144,20%, $460.00 , $285.00 ,"Blusa médica para enfermeras, destaca tu audacia, con un estilo moderno que te hará relucir entre el resto. Su color naval resaltará, lo mejor de ti.",Lote,Top
A001-203-L,"Top mujer ""cuello V""  Ceniza contraste Coral",A001-203-L,No,Si,Si,N/A,Almacenable,Inactivo,Audaz,A001,Top,Top,203-CENIZA,Mujer,L ,Contrastado,TTR-18-5203TCX-PEWTER,0.300,A001203L ,,,,,,,30,,,24,15.15,Estable,,De todos ,1,,,,,,,N/A,pz,unidades,pz,N/A,,,No aplica cambio ,,39.054586,150,0.34,144,20%, $460.00 , $285.00 ,"Blusa médica de estilo audaz y moderno. Su cuello en ""V"" te hará resaltar en los momentos de máxima presión. Su color ceniza representa la templanza con que sorteas los retos del día.",Lote,Top
A001-203-M,"Top mujer ""cuello V""  Ceniza contraste Coral",A001-203-M,No,Si,Si,N/A,Almacenable,Inactivo,Audaz,A001,Top,Top,203-CENIZA,Mujer,M ,Contrastado,TTR-18-5203TCX-PEWTER,0.285,A001203M ,,,,,,,30,,,24,15.15,Estable,,De todos ,1,,,,,,,N/A,pz,unidades,pz,N/A,,,No aplica cambio ,,38.941692,150,0.62,216,20%, $460.00 , $285.00 ,"Blusa médica de estilo audaz y moderno. Su cuello en ""V"" te hará resaltar en los momentos de máxima presión. Su color ceniza representa la templanza con que sorteas los retos del día.",Lote,Top
A001-203-S,"Top mujer ""cuello V""  Ceniza contraste Coral",A001-203-S,No,Si,Si,N/A,Almacenable,Inactivo,Audaz,A001,Top,Top,203-CENIZA,Mujer,S,Contrastado,TTR-18-5203TCX-PEWTER,0.270,A001203S,,,,,,,30,,,24,15.15,Estable,,De todos ,1,,,,,,,N/A,pz,unidades,pz,N/A,,,No aplica cambio ,,39.42619,150,0.77,216,20%, $460.00 , $285.00 ,"Blusa médica de estilo audaz y moderno. Su cuello en ""V"" te hará resaltar en los momentos de máxima presión. Su color ceniza representa la templanza con que sorteas los retos del día.",Lote,Top
A001-203-XS,"Top mujer ""cuello V""  Ceniza contraste Coral",A001-203-XS,No,Si,Si,N/A,Almacenable,Inactivo,Audaz,A001,Top,Top,203-CENIZA,Mujer,XS,Contrastado,TTR-18-5203TCX-PEWTER,0.220,A001203XS,,,,,,,30,,,24,15.15,Estable,,De todos ,1,,,,,,,N/A,pz,unidades,pz,N/A,,,No aplica cambio ,,127.050922,150,0.48,216,20%, $460.00 , $285.00 ,"Blusa médica de estilo audaz y moderno. Su cuello en ""V"" te hará resaltar en los momentos de máxima presión. Su color ceniza representa la templanza con que sorteas los retos del día.",Lote,Top
