CLASIFICACIÓN ,DESCRIPCIÓN,CODIGO,MARCA,PROVEEDOR,N° PARTE,MODELO,COSTO UNITARIO,MONEDA,COSTO DE VENTAS,MONEDA
SENSORES,AUTOJOINT HA-TM-31,,HEXAGON,HEXAGON,76300411288954,HA-TM-31,,,,
SENSORES,AUTOJOINT EAGLE.head ap M8/31mm ADAPTER,,PANTEC,PANTEC,35260,,$290.00,USD,$600.00,USD
SENSORES,Cleaning kit,,RENISHAW,RENISHAW,A-1085-0016,-,$20.00,USD,$35.00,USD
SENSORES,PAA1 AUTOJOINT ,,RENISHAW,RENISHAW,A-1051-0417,PAA1,$259.00,USD,$550.00,USD
SENSORES,PAA2 AUTOJOINT ADAPTOR,,RENISHAW,RENISHAW,A-1051-0418,PPA2,$330.40,USD,$600.00,USD
SENSORES,TP20 EXT FORCE MODULE,,RENISHAW,RENISHAW,A-1032-0272 ,TP20 MODULO,$710.50,USD,"$1,100.00",USD
SENSORES,TP20 MED FORCE MODULE,,RENISHAW,RENISHAW,A-1371-0271,TP20 MODULO,$616.00,USD,"$1,100.00",USD
SENSORES,TP20 PROBE BODY KIT,,RENISHAW,RENISHAW,A-1032-0284 (UPG),TP20 BODY,$616.00,USD,$900.00,USD
SENSORES,TP20 STD FORCE MODULE,,RENISHAW,RENISHAW,A-1371-0270-01,TP20 MODULO,$710.50,USD,"$1,100.00",USD
SENSORES,TP6 PROBE RBE,,RENISHAW,RENISHAW,A-1039-0001,TP6,$740.00,USD,"$2,000.00",USD
SENSORES,KIT TP20 EM1 STD | EM2 STD,,RENISHAW,RENISHAW,A-1371-0430,TP20 EM1,"$1,290.00",USD,"$2,550.00",USD
SENSORES,TP2-5W-RBE,,RENISHAW,RENISHAW,A-1042-1890,TP2,$744.00,USD,"$2,000.00",USD
SENSORES,TP20 LOW FORCE MODLE ONLY,,RENISHAW,RENISHAW,A-1371-0392,TP20 MODULO,$710.50,USD,"$1,100.00",USD
SENSORES,SENSOR PARA BRAZO DE BRAVO FCA ESTAMPADOS,,SELEC SENSOR,,B01CF12PSC,,,,,
LICENCIAS,LICENCIA POLYWORKS,,POLYWORKS,INNOVMETRIC ,-,,,USD,,USD
CONTRABALANCES,CONTRABALANCE ACCURATE ASSLY  M-800 BORE-40 STROCK-431,,ACCURATE,ACCURATE,13020408906,,$450.00,USD,"$1,200.00",USD
CONTRABALANCES,CONTRABALANCE CHIAPPEROTTI  ,,CHIAPEROTTI ,CHIAPEROTTI ,G13518500-KIT,SCIROCCO,$500.00,USD,"$1,200.00",USD
CONTRABALANCES,CONTRABALANCE PARA GLOBAL D60010034 ,,CHIAPEROTTI ,CHIAPEROTTI ,D60010034,GLOBAL,$347.00,USD,"$1,200.00",USD
CONTRABALANCES,CONTRABALANCE  G13518700 PARA CMM GHIBLI),,CHIAPEROTTI ,CHIAPEROTTI ,G13518700,GHIBLI,$510.00,USD,"$1,500.00",USD
PATINES,RECTANGULAR AIR BEARINGS R3 SF/P 40x80x12,,MAGER AIR BEARING,MAGER AIR BEARING,WF101R0158000,40x80x12,,-,$950.00,USD
PATINES,RECTANGULAR AIR BEARINGS 140x70x25 / COLOR NEGRO,,TORINO MAGER ITALY,MAGER AIR BEARING,-,140x70x25,,-,$950.00,USD
PATINES,RECTANGULAR AIR BEARINGS 154X79X25,,TORINO MAGER ITALY,MAGER AIR BEARING,-,154x79x25,,-,$950.00,USD
