NÚMERO DE PARTE,CODIGO SOPORTE METROLOGY,DESCRIPCIÓN,MARCA,MODELO,CLASIFICACIÓN,UBICACIÓN EN ALMACÉN,CÓDIGO INTERNO DE SUBLOCALIZACIÓN EN ALMACÉN,ORIGEN: (SI LLEGA POR PROVEEDOR O USADO POR EMPRESA),DATOS DE ORIGEN:,TIPO DE PRODUCTO:(DEJARLO GENERAL PARA TODAS LAS REFACCIONES),COSTO UNITARIO,PRECIO DE VENTA,MONEDA,UNIDAD DE MEDIDA,MINIMO EN STOCK,MAXIMOS
A-5000-3553,Palpador M3 bola de rubi 3x21mm SM-500-3553,"Bola de rubí M3 de Ø3 mm, vástago de acero inoxidable, L 21 mm, LTU 14,7 mm",RENISHAW,A-5000-3553,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$32.00,$45.00,USD,PIEZA,2,5
A-5000-3554,Palpador M3 bola de rubí 4x21mm SM-5000-3554,"Bola de rubí M3 de Ø4 mm, vástago de acero inoxidable, L 31 mm, LTU 27 mm",RENISHAW,A-5000-3554,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$32.00,$45.00,USD,PIEZA,2,5
A-5000-3603,Palpador M2 bola de rubí 2x20mm SM-5000-3603,"Bola de rubí M2 Ø2 mm, vástago de acero inoxidable, L 20 mm",RENISHAW,A-5000-3603,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$17.50,$25.00,USD,PIEZA,10,15
A-5000-3604,Palpador M2 bola de rubí 3x10mm SM-5000-3604,"Bola de rubí M2 de Ø3 mm, vástago de acero inoxidable, L 10 mm, LTU 7 mm",RENISHAW,A-5000-3604,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$15.40,$25.00,USD,PIEZA,5,10
A-5000-3611,Disco de rubí M2 Ø6 mm,"Disco de rubí M2 Ø6 mm, 1,2 mm de grosor, con rodillo bola",RENISHAW,A-5000-3611,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$49.00,$65.00,USD,PIEZA,1,3
A-5000-3626,Palpador M2 bola de rubí 5 vías 2x30mm SM-5000-3626,"Palpador M2 de 5 vías, en estrella con bola de rubí de Ø2 mm, 30 mm de separación",RENISHAW,A-5000-3626,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$93.10,$130.00,USD,PIEZA,2,3
A-5000-3627,"Centro  de estrella M2 de 5 vías, L 7,5 mm","Centro / Palpador de estrella M2 de 5 vías, L 7,5 mm",RENISHAW,A-5000-3627,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$33.60,$45.00,USD,PIEZA,2,3
A-5000-3709,Palpador M4 bola de rubí 6x50mm SM-5000-3709,"Bola de rubí M4 de Ø6 mm, vástago de cerámica, L 50 mm, LTU 38,5 mm",RENISHAW,A-5000-3709,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$67.90,$90.00,USD,PIEZA,2,3
A-5000-4154,Palpador M2 bola de rubí 4x10mm SM-5000-4154,"Bola de rubí M2 de Ø4 mm, vástago de acero inoxidable, L 10 mm, LTU 10 mm",RENISHAW,A-5000-4154,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$15.40,$25.00,USD,PIEZA,5,10
A-5000-4155,Palpador M2 bola de rubí 5x10mm SM-5000-4155,"Bola de rubí M2 de Ø5 mm, vástago de acero inoxidable, L 10 mm, LTU 10 mm",RENISHAW,A-5000-4155,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$25.25,$40.00,USD,PIEZA,2,3
